iter	Passed	Remaining
0	138	138103
1	140	69922
2	141	47119
3	143	35662
4	145	28886
5	146	24331
6	149	21169
7	151	18740
8	152	16839
9	154	15323
10	156	14091
11	158	13062
12	160	12215
13	162	11445
14	164	10809
15	167	10271
16	168	9762
17	170	9304
18	172	8889
19	173	8516
20	175	8183
21	177	7911
22	180	7647
23	182	7406
24	183	7174
25	185	6957
26	187	6755
27	188	6553
28	190	6378
29	193	6249
30	195	6099
31	196	5958
32	199	5831
33	201	5711
34	202	5590
35	204	5464
36	205	5348
37	207	5253
38	209	5154
39	210	5050
40	212	4965
41	214	4886
42	215	4804
43	217	4727
44	219	4649
45	220	4580
46	222	4519
47	224	4456
48	226	4392
49	227	4314
50	228	4259
51	230	4209
52	232	4158
53	234	4116
54	237	4076
55	239	4036
56	240	3986
57	242	3935
58	243	3879
59	244	3834
60	246	3791
61	247	3747
62	249	3705
63	250	3668
64	252	3635
65	253	3594
66	255	3554
67	256	3516
68	257	3479
69	259	3442
70	260	3406
71	261	3369
72	262	3335
73	263	3300
74	265	3269
75	266	3235
76	267	3205
77	268	3174
78	269	3141
79	270	3109
80	271	3077
81	272	3046
82	272	3011
83	273	2981
84	274	2952
85	275	2923
86	275	2895
87	276	2868
88	277	2841
89	278	2815
90	279	2789
91	280	2767
92	281	2743
93	282	2719
94	282	2695
95	283	2672
96	284	2649
97	285	2628
98	286	2606
99	287	2587
100	288	2565
101	289	2544
102	289	2524
103	290	2504
104	291	2485
105	292	2466
106	293	2447
107	294	2429
108	294	2410
109	296	2395
110	297	2379
111	297	2362
112	298	2346
113	299	2330
114	300	2313
115	301	2297
116	302	2280
117	303	2265
118	303	2250
119	304	2235
120	305	2222
121	306	2207
122	307	2192
123	308	2179
124	309	2165
125	310	2153
126	311	2144
127	313	2132
128	313	2119
129	314	2106
130	315	2093
131	316	2083
132	317	2070
133	318	2058
134	319	2046
135	320	2034
136	321	2022
137	321	2011
138	322	1999
139	323	1987
140	324	1976
141	324	1963
142	326	1953
143	327	1944
144	328	1934
145	329	1924
146	329	1914
147	330	1904
148	331	1894
149	332	1883
150	333	1874
151	334	1864
